x,y,z,bx,by,bz
-0.0493663554543373,-0.1356329468915622,0.0,-0.0403117920910324,0.4425089867498591,1021.3505627190588
-0.0493663554543373,-0.1356329468915622,0.0749999999999999,-0.0533184050238259,0.4287803563637261,1021.3174296980884
-0.0493663554543373,-0.1356329468915622,0.15,-0.0654014148117786,0.4135266769487485,1021.2874311758618
-0.0250639555300725,-0.1421447553254071,-0.15,0.009864134916036,0.4570026623493718,1021.41318683578
-0.0250639555300725,-0.1421447553254071,-0.075,-0.0081324601351012,0.4525195537523944,1021.3780870509304
-0.0250639555300725,-0.1421447553254071,0.0,-0.0237501656313006,0.4430497467948197,1021.3453356847966
-0.0250639555300725,-0.1421447553254071,0.0749999999999999,-0.0369270161564419,0.4298638136728588,1021.3136045040152
-0.0250639555300725,-0.1421447553254071,0.15,-0.0489799870509511,0.4159124167455117,1021.2841334451864
-2.651438096812267e-17,-0.1443375672974064,-0.15,0.0276274320741737,0.4547630249034332,1021.4068644069488
-2.651438096812267e-17,-0.1443375672974064,-0.075,0.0095827625585016,0.4514701392457811,1021.3726575603216
-2.651438096812267e-17,-0.1443375672974064,0.0,-0.0063635627669803,0.4424580309855579,1021.3406036795336
-2.651438096812267e-17,-0.1443375672974064,0.0749999999999999,-0.0203212666113271,0.4301258225022292,1021.3094649646556
-2.651438096812267e-17,-0.1443375672974064,0.15,-0.0324035991343509,0.4170886203140647,1021.2807590872484
0.0250639555300724,-0.1421447553254072,-0.15,0.0476628980772824,0.4510286116549772,1021.4004433663222
0.0250639555300724,-0.1421447553254072,-0.075,0.0285084619676037,0.4481658448765538,1021.3667860749736
0.0250639555300724,-0.1421447553254072,0.0,0.0117930066962331,0.4402701226037999,1021.3354002399824
0.0250639555300724,-0.1421447553254072,0.0749999999999999,-0.0024278786478678,0.4286067070007714,1021.3049587446502
0.0250639555300724,-0.1421447553254072,0.15,-0.0154769620326499,0.4161217842875756,1021.2767027213384
0.0493663554543372,-0.1356329468915623,-0.15,0.0665433033779293,0.4460376490562615,1021.3945901471884
0.0493663554543372,-0.1356329468915623,-0.075,0.0464507922644981,0.4442248639894711,1021.3619123515168
0.0493663554543372,-0.1356329468915623,0.0,0.029571882478676,0.4369190614156332,1021.3312597515388
0.0493663554543372,-0.1356329468915623,0.0749999999999999,0.014514258435422,0.4262019428167016,1021.3006575644796
0.0493663554543372,-0.1356329468915623,0.15,0.0004738116434354,0.4138493233278629,1021.2730421261924
0.0721687836487032,-0.1249999999999999,-0.15,0.0832864282298721,0.4399600485019296,1021.389617724835
0.0721687836487032,-0.1249999999999999,-0.075,0.0622430653592584,0.4390025113066758,1021.3576501690842
0.0721687836487032,-0.1249999999999999,0.0,0.0451813097263509,0.4325478085712448,1021.327697042472
0.0721687836487032,-0.1249999999999999,0.0749999999999999,0.0299463259410955,0.4224036329192258,1021.297281074348
0.0721687836487032,-0.1249999999999999,0.15,0.014985825025362,0.4104554075868089,1021.269613372703
0.0927783998710698,-0.1105689913614897,-0.15,0.097539758032668,0.4329550415105719,1021.3852467554066
0.0927783998710698,-0.1105689913614897,-0.075,0.0759215567607798,0.432386439057887,1021.3535781869364
0.0927783998710698,-0.1105689913614897,0.0,0.0588216992299821,0.4267818803091883,1021.3241826835888
0.0927783998710698,-0.1105689913614897,0.0749999999999999,0.0435642030973499,0.4175946695846789,1021.2944985065174
0.0927783998710698,-0.1105689913614897,0.15,0.0281735355209793,0.4055503309352509,1021.2663927910306
0.1105689913614896,-0.0927783998710699,-0.15,0.1090156922114703,0.4250693112909242,1021.3816598106145
0.1105689913614896,-0.0927783998710699,-0.075,0.0866299869869687,0.4253890284591875,1021.350714184394
0.1105689913614896,-0.0927783998710699,0.0,0.0700093201440677,0.420656734030848,1021.3214627938552
0.1105689913614896,-0.0927783998710699,0.0749999999999999,0.055026827300053,0.4110682816827889,1021.2912329868628
0.1105689913614896,-0.0927783998710699,0.15,0.0383957141903592,0.3996812129102773,1021.2634823141832
0.1249999999999999,-0.0721687836487032,-0.15,0.1163142194205122,0.4171010834909504,1021.3785548052136
0.1249999999999999,-0.0721687836487032,-0.075,0.0941566798505198,0.4176845297401886,1021.3483109598988
0.1249999999999999,-0.0721687836487032,0.0,0.0781874645544428,0.413430217295027,1021.3187583143036
0.1249999999999999,-0.0721687836487032,0.0749999999999999,0.0626572341224462,0.4049813328827169,1021.2895555148738
0.1249999999999999,-0.0721687836487032,0.15,0.0463184555802444,0.3936161672613152,1021.261257600941
0.1356329468915622,-0.0493663554543374,-0.15,0.1209193029168821,0.4091678110299983,1021.3763522817824
0.1356329468915622,-0.0493663554543374,-0.075,0.0987467366159338,0.4105303201388539,1021.3462625428604
0.1356329468915622,-0.0493663554543374,0.0,0.083156662869583,0.4059375807700857,1021.316980581754
0.1356329468915622,-0.0493663554543374,0.0749999999999999,0.0685504288997383,0.3978876138143549,1021.287213467303
0.1356329468915622,-0.0493663554543374,0.15,0.0515513518754219,0.3867142281158867,1021.258876861792
0.1421447553254071,-0.0250639555300725,-0.15,0.1214940415907398,0.4018168096427425,1021.3746902053224
0.1421447553254071,-0.0250639555300725,-0.075,0.0995151882915871,0.4024115532772637,1021.3441256501058
